City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,21.77,76,100,3.8,PN,1731295747
1,kargasok,59.0556,80.8572,-9.8,86,100,5.65,RU,1731295750
2,san antonio de pale,-1.4014,5.6325,25.83,85,94,4.29,GQ,1731295752
3,muisne,0.6,-80.0333,23.42,80,100,3.61,EC,1731295753
4,sitangkai,4.6628,119.3928,28.02,78,100,2.4,PH,1731295754
5,port lincoln,-34.7333,135.8667,19.14,72,100,5.87,AU,1731295755
6,ribeira grande,38.5167,-28.7,20.99,88,26,6.71,PT,1731295757
7,edinburgh of the seven seas,-37.0676,-12.3116,15.93,88,90,15.38,SH,1731295758
8,kedougou,12.5579,-12.1743,23.32,68,0,0.0,SN,1731295760
9,port-aux-francais,-49.35,70.2167,4.93,86,95,9.48,TF,1731295761
10,ust-nera,64.5667,143.2,-22.55,97,96,1.29,RU,1731295763
11,vikindu,-7.0067,39.2985,22.8,94,40,1.54,TZ,1731295765
12,tengrela,10.4869,-6.4097,21.94,48,56,1.44,CI,1731295766
13,afaahiti,-17.75,-149.2833,24.49,86,90,7.98,PF,1731295768
14,iskateley,67.6803,53.1512,-11.4,95,74,1.9,RU,1731295770
15,lebu,-37.6167,-73.65,10.79,86,29,1.29,CL,1731295771
16,college,64.8569,-147.8028,-14.96,85,0,0.0,US,1731295773
17,kpandu,6.9954,0.2931,23.73,89,55,1.96,GH,1731295775
18,frederiksvaerk,55.9707,12.0225,7.83,94,100,4.02,DK,1731295776
19,yellowknife,62.456,-114.3525,-13.71,85,75,4.12,CA,1731295506
20,albany,42.6001,-73.9662,7.37,74,100,0.89,US,1731295735
21,paoua,7.2427,16.4406,19.45,48,18,1.17,CF,1731295780
22,galesong,-5.3166,119.3661,30.28,64,21,1.28,ID,1731295782
23,hunchun,42.8675,130.3581,8.79,35,13,2.2,CN,1731295783
24,yulinshi,38.2906,109.7494,12.87,43,100,5.07,CN,1731295785
